,0
valid,0.865
unique@1000,0.9930635838150289
unique@10000,0.9930635838150289
FCD/Test,1.9128069365129363
SNN/Test,0.6296587104225434
Frag/Test,0.9917789856807001
Scaf/Test,0.357143457356599
IntDiv,0.8746625992714007
IntDiv2,0.8643878903304507
Filters,0.8427745664739884
logP,0.06310023817664964
SA,0.04865901037992055
QED,0.016376319314452888
weight,10.718563155652687
Novelty,0.7869615832363213
